State,Year,Democrat Votes,Democrat EC,Republican Votes,Republican EC,Third Party Votes,Third Party EC,Vote Margin (ABS),Vote Margin,Total Votes Minus Third Party,Total Votes,Total EC,Registered Voters
California,2004,6745485,55,5509826,,166042,,1235659,1235659,12255311,12421353,55,21132533
Colorado,2004,1001732,,1101255,9,27343,,99523,-99523,2102987,2130330,9,3192647
Connecticut,2004,857488,7,693826,,27455,,163662,163662,1551314,1578769,7,2429634
Delaware,2004,200152,3,171660,,3378,,28492,28492,371812,375190,3,584817
District of Columbia,2004,202970,3,21256,,3360,,181714,181714,224226,227586,3,419142
Florida,2004,3583544,,3964522,27,61744,,380978,-380978,7548066,7609810,27,11811921
Georgia,2004,1366149,,1914254,15,21472,,548105,-548105,3280403,3301875,15,5878186
Hawaii,2004,231708,4,194191,,3114,,37517,37517,425899,429013,4,889540
Idaho,2004,181098,,409235,4,8114,,228137,-228137,590333,598447,4,946160
Illinois,2004,2891550,21,2345946,,36826,,545604,545604,5237496,5274322,21,8576696
Indiana,2004,969011,,1479438,11,19553,,510427,-510427,2448449,2468002,11,4504260
Iowa,2004,741898,,751957,7,13053,,10059,-10059,1493855,1506908,7,2156389
Kansas,2004,434993,,736456,6,16307,,301463,-301463,1171449,1187756,6,1928764
Kentucky,2004,712733,,1069439,8,13710,,356706,-356706,1782172,1795882,8,3057741
Louisiana,2004,820299,,1102169,9,20638,,281870,-281870,1922468,1943106,9,3182762
Maine,2004,396842,4,330201,,13709,,66641,66641,727043,740752,4,1003792
Maryland,2004,1334493,10,1024703,,27482,,309790,309790,2359196,2386678,10,3797264
Massachusetts,2004,1803800,12,1071109,,37479,,732691,732691,2874909,2912388,12,4533859
Michigan,2004,2479183,17,2313746,,46323,,165437,165437,4792929,4839252,17,7263024
Minnesota,2004,1445014,9,1346695,,36678,,98319,98319,2791709,2828387,9,3609185
Mississippi,2004,458094,,684981,6,9070,,226887,-226887,1143075,1152145,6,2068766
Missouri,2004,1259171,,1455713,11,16480,,196542,-196542,2714884,2731364,11,4180960
Montana,2004,173710,,266063,3,10672,,92353,-92353,439773,450445,3,699114
Nebraska,2004,254328,,512814,5,11044,,258486,-258486,767142,778186,5,1236522
Nevada,2004,397190,,418690,5,13707,,21500,-21500,815880,829587,5,1501437
New Hampshire,2004,340511,4,331237,,5990,,9274,9274,671748,677738,4,956422
New Jersey,2004,1911430,15,1670003,,30258,,241427,241427,3581433,3611691,15,5663201
