State,Year, Democrat Votes ,Democrat EC, Republican Votes ,Republican EC, Third Party Votes ,Third Party EC, Vote Margin (ABS) , Vote Margin ,Vote Margin % (ABS),Vote Margin %, Total Votes Minus Third Party , Total Votes ,Total EC, Registered Voters , Voting Aged Population , State Population , Electoral Power Group , State Population Over EC ,Turn Out,Rural Population,Small Town Population,Suburb Population,Urban Population,White,Black,Hispanic,Asian,Two or More Races/Other,No High School,High School,Bachelors Degree,Advanced Degree,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,Below Poverty (< 100%),Above Poverty (100 - 199%),Above Poverty (200-399%),Abover Poverty (400%+),Male,Female
Oklahoma,2016,"420,375",,"949,136",7,"83,481",,"528,761","-528,761",0.39,-0.39,"1,369,511","1,452,992",7,"2,778,219","2,965,905","3,956,971",3,"565,281.57",0.52,0.44,0.23,0.32,0.01,0.67,0.07,0.1,0.02,0.14,0.125,0.627,0.165,0.083,0.26,0.09,0.11,0.26,0.13,0.15,0.21,0.21,0.31,0.27,0.48,0.52
Minnesota,2016,"1,367,716",10,"1,322,951",,"254,146",,"44,765","44,765",0.02,0.02,"2,690,667","2,944,813",10,"3,973,204","4,240,423","5,639,632",3,"563,963.20",0.74,0.36,0.19,0.25,0.2,0.81,0.05,0.05,0.05,0.04,0.072,0.58,0.23,0.118,0.24,0.09,0.12,0.25,0.14,0.16,0.14,0.19,0.33,0.34,0.49,0.51
Kentucky,2016,"628,854",,"1,202,971",8,"92,324",,"574,177","-574,117",0.31,-0.31,"1,831,825","1,924,149",8,"3,282,420","3,430,652","4,467,673",3,"558,459.13",0.59,0.52,0.2,0.23,0.05,0.86,0.08,0.03,0.01,0.02,0.148,0.62,0.136,0.096,0.23,0.09,0.11,0.24,0.15,0.18,0.13,0.21,0.33,0.33,0.5,0.5
Alabama,2016,"729,547",,"1,318,255",9,"75,570",,"588,708","-588,708",0.29,-0.29,"2,047,802","2,123,372",9,"3,609,447","3,770,142","4,903,185",3,"544,798.33",0.59,0.51,0.33,0.16,0,0.66,0.26,0.04,0.01,0.03,0.147,0.608,0.154,0.091,0.26,0.09,0.12,0.25,0.13,0.15,0.12,0.17,0.33,0.38,0.5,0.5
Utah,2016,"310,676",,"515,231",6,"305,523",,"204,555","-204,555",0.25,-0.25,"825,907","1,131,430",6,"1,991,885","2,144,784","3,205,958",3,"534,326.33",0.57,0.21,0.19,0.41,0.19,0.79,0.01,0.14,0.02,0.04,0.082,0.593,0.215,0.11,0.24,0.09,0.13,0.26,0.13,0.15,0.14,0.21,0.33,0.32,0.5,0.5
Iowa,2016,"653,669",,"800,983",6,"111,379",,"147,314","-147,314",0.1,-0.1,"1,454,652","1,566,031",6,"2,288,536","2,406,915","3,155,070",3,"525,845.00",0.68,0.52,0.29,0.19,0,0.87,0.03,0.06,0.02,0.02,0.082,0.641,0.187,0.09,0.21,0.08,0.11,0.27,0.16,0.17,0.07,0.12,0.28,0.53,0.5,0.5
Nevada,2016,"539,260",6,"512,058",,"74,067",,"27,202","27,202",0.03,0.03,"1,051,318","1,125,385",6,"1,961,587","2,276,281","3,080,156",3,"513,359.33",0.57,0.13,0.09,0.25,0.53,0.5,0.08,0.29,0.08,0.05,0.142,0.621,0.156,0.081,0.24,0.08,0.11,0.28,0.14,0.15,0.1,0.13,0.24,0.53,0.49,0.51
Connecticut,2016,"897,572",7,"673,215",,"74,133",,"224,357","224,357",0.14,0.14,"1,570,787","1,644,920",7,"2,582,761","2,821,935","3,565,287",3,"509,326.71",0.64,0.08,0.35,0.45,0.12,0.68,0.1,0.16,0.04,0.02,0.098,0.518,0.214,0.17,0.25,0.09,0.12,0.24,0.13,0.17,0.2,0.22,0.29,0.29,0.49,0.51
Arkansas,2016,"380,494",,"684,872",6,"65,269",,"304,378","-304,378",0.29,-0.29,"1,065,366","1,130,635",6,"2,140,097","2,286,625","3,017,804",3,"502,967.33",0.53,0.58,0.36,0.06,0,0.74,0.15,0.07,0.01,0.03,0.144,0.636,0.141,0.079,0.22,0.09,0.14,0.27,0.13,0.15,0.15,0.16,0.26,0.43,0.48,0.52
Mississippi,2016,"485,131",,"700,714",6,"23,512",,"215,583","-215,583",0.18,-0.18,"1,185,845","1,209,357",6,"2,191,241","2,268,089","2,976,149",3,"496,024.83",0.55,0.65,0.29,0.06,0,0.57,0.38,0.03,0.01,0.01,0.166,0.621,0.133,0.08,0.24,0.09,0.11,0.27,0.13,0.16,0.16,0.2,0.31,0.33,0.48,0.52
Kansas,2016,"427,005",,"671,018",6,"86,379",,"244,013","-244,013",0.22,-0.22,"1,098,023","1,184,402",6,"2,054,025","2,192,423","2,913,314",3,"485,552.33",0.58,0.41,0.25,0.31,0.03,0.76,0.06,0.11,0.03,0.04,0.095,0.582,0.206,0.117,0.24,0.11,0.14,0.24,0.13,0.14,0.12,0.14,0.31,0.43,0.51,0.49
Idaho,2016,"189,765",,"409,055",4,"91,435",,"219,290","-219,290",0.37,-0.37,"598,820","690,255",4,"1,166,706","1,253,925","1,787,065",3,"446,766.25",0.59,0.42,0.36,0.22,0,0.83,0.01,0.12,0.01,0.03,0.098,0.634,0.183,0.085,0.24,0.09,0.12,0.25,0.14,0.16,0.14,0.17,0.32,0.37,0.49,0.51
New Mexico,2016,"385,234",5,"319,667",,"93,418",,"65,567","65,567",0.09,0.09,"704,901","798,319",5,"1,464,515","1,591,069","2,096,829",3,"419,365.80",0.55,0.41,0.28,0.26,0.05,0.38,0.02,0.48,0.01,0.11,0.15,0.581,0.151,0.118,0.26,0.09,0.12,0.25,0.13,0.15,0.16,0.21,0.32,0.31,0.49,0.51
Nebraska,2016,"284,494",,"495,961",5,"63,772",,"211,467","-211,467",0.27,-0.27,"780,455","844,227",5,"1,343,821","1,436,437","1,934,408",3,"386,881.60",0.63,0.36,0.17,0.39,0.08,0.8,0.04,0.11,0.02,0.03,0.091,0.603,0.204,0.102,0.22,0.09,0.13,0.25,0.14,0.17,0.13,0.19,0.3,0.38,0.49,0.51
West Virginia,2016,"188,794",,"489,371",5,"36,258",,"300,577","-300,577",0.44,-0.44,"678,165","714,423",5,"1,423,031","1,453,201","1,792,147",3,"358,429.40",0.5,0.64,0.36,0,0,0.93,0.03,0.01,0.01,0.02,0.141,0.66,0.12,0.079,0.22,0.09,0.12,0.26,0.14,0.17,0.13,0.16,0.31,0.4,0.49,0.51
Montana,2016,"177,709",,"279,240",3,"40,198",,"101,531","-101,531",0.22,-0.22,"456,949","497,147",3,"804,250","817,702","1,068,778",3,"356,259.33",0.62,0.59,0.4,0.01,0,0.87,0,0.03,0.01,0.09,0.07,0.623,0.206,0.101,0.21,0.11,0.12,0.26,0.14,0.16,0.13,0.15,0.27,0.45,0.49,0.51
Hawaii,2016,"266,891",3,"128,847",,"33,199",1,"138,044","138,044",0.35,0.35,"395,738","428,937",4,"1,012,860","1,120,465","1,415,872",3,"353,968.00",0.42,0.23,0.22,0.36,0.19,0.21,0.01,0.1,0.38,0.3,0.084,0.596,0.212,0.108,0.23,0.09,0.12,0.25,0.14,0.17,0.15,0.21,0.32,0.32,0.48,0.52
New Hampshire,2016,"348,526",4,"345,790",,"49,980",,"2,736","2,736",0,0,"694,316","744,296",4,"1,042,795","1,076,739","1,359,711",3,"339,927.75",0.71,0.39,0.42,0.19,0,0.91,0.01,0.03,0.03,0.02,0.072,0.568,0.222,0.138,0.26,0.09,0.12,0.23,0.14,0.16,0.14,0.17,0.34,0.35,0.5,0.5
Maine,2016,"357,735",3,"335,593",1,"54,599",,"22,142","22,142",0.03,0.03,"693,328","747,927",4,"1,058,372","1,078,037","1,344,212",3,"336,053.00",0.71,0.69,0.25,0.06,0,0.94,0.02,0.02,0.01,0.01,0.079,0.618,0.194,0.109,0.24,0.09,0.12,0.26,0.13,0.16,0.16,0.2,0.33,0.31,0.48,0.52
Delaware,2016,"235,603",3,"185,127",,"23,084",,"50,476","50,476",0.12,0.12,"420,730","443,814",3,"691,720","749,872","973,764",3,"324,588.00",0.64,0.24,0.27,0.49,0,0.63,0.21,0.09,0.04,0.03,0.107,0.583,0.181,0.129,0.28,0.1,0.13,0.26,0.11,0.12,0.16,0.2,0.29,0.35,0.49,0.51
South Dakota,2016,"117,458",,"227,721",3,"24,914",,"110,263","-110,263",0.32,-0.32,"345,179","370,093",3,"631,173","653,841","884,659",3,"294,886.33",0.59,0.65,0.19,0.16,0,0.83,0.01,0.04,0.02,0.1,0.086,0.636,0.195,0.083,0.32,0.11,0.13,0.23,0.1,0.11,0.1,0.17,0.38,0.35,0.5,0.5
Rhode Island,2016,"252,525",4,"180,543",,"31,076",,"71,982","71,982",0.17,0.17,"433,068","464,144",4,"786,012","848,975","1,059,361",3,"264,840.25",0.59,0.08,0.31,0.22,0.39,0.73,0.06,0.15,0.03,0.03,0.127,0.543,0.199,0.131,0.2,0.08,0.11,0.26,0.16,0.19,0.11,0.16,0.32,0.41,0.49,0.51
North Dakota,2016,"93,758",,"216,794",3,"33,808",,"123,036","-123,036",0.4,-0.4,"310,552","344,360",3,"566,783","581,188","762,062",3,"254,020.67",0.61,0.49,0.39,0.12,0,0.85,0.03,0.03,0.01,0.08,0.077,0.634,0.211,0.078,0.24,0.09,0.12,0.27,0.13,0.15,0.11,0.14,0.28,0.47,0.48,0.52
Alaska,2016,"116,454",,"163,387",3,"38,767",,"46,933","-46,933",0.17,-0.17,"279,841","318,608",3,"522,679","555,367","731,545",3,"243,848.33",0.61,0.54,0.18,0.28,0,0.61,0.03,0.07,0.06,0.23,0.076,0.634,0.186,0.104,0.24,0.09,0.13,0.26,0.13,0.15,0.11,0.16,0.29,0.44,0.5,0.5
District of Columbia,2016,"282,830",3,"12,723",,"15,715",,"270,107","270,107",0.91,0.91,"295,553","311,268",3,"515,248","562,329","705,749",3,"235,249.67",0.6,0,0,0,1,0.36,0.47,0.11,0.04,0.02,0.097,0.337,0.238,0.328,0.22,0.09,0.1,0.25,0.15,0.19,0.18,0.21,0.32,0.29,0.49,0.51
Vermont,2016,"178,573",3,"95,369",,"41,125",,"83,204","83,204",0.3,0.3,"273,942","315,067",3,"494,871","506,048","623,989",3,"207,996.33",0.64,0.79,0.21,0,0,0.94,0.01,0.02,0.01,0.02,0.077,0.555,0.218,0.15,0.23,0.09,0.12,0.26,0.14,0.16,0.12,0.15,0.33,0.4,0.5,0.5
Wyoming,2016,"55,973",,"174,419",3,"25,457",,"118,446","-118,446",0.51,-0.51,"230,392","255,849",3,"429,682","446,396","578,759",3,"192,919.67",0.6,0.66,0.34,0,0,0.85,0.01,0.1,0.01,0.03,0.072,0.661,0.174,0.093,0.26,0.09,0.12,0.24,0.14,0.15,0.12,0.17,0.34,0.37,0.51,0.49
